Chemical;Sensor;UnitRoot;Stationarity
булова_49;S3;1;0
булова_49;S4;0;1
булова_49;S5;0;1
булова_49;S6;0;1
булова_49;S7;1;0
булова_49;S8;1;0
резинки_1_50;S1;1;0
резинки_1_50;S2;1;0
резинки_1_50;S3;1;0
резинки_1_50;S4;0;1
резинки_1_50;S5;0;1
резинки_1_50;S6;0;1
резинки_1_50;S7;1;0
резинки_1_50;S8;1;0
резинки_2_51;S1;1;0
резинки_2_51;S2;1;0
резинки_2_51;S3;1;0
резинки_2_51;S4;1;0
резинки_2_51;S5;1;0
резинки_2_51;S6;1;0
резинки_2_51;S7;1;0
резинки_2_51;S8;1;0
резинки_3_52;S1;0;1
резинки_3_52;S2;0;1
резинки_3_52;S3;1;0
резинки_3_52;S4;0;1
резинки_3_52;S5;0;1
резинки_3_52;S6;0;1
резинки_3_52;S7;0;1
резинки_3_52;S8;0;1
резинки_4_53;S1;1;0
резинки_4_53;S2;1;0
резинки_4_53;S3;1;0
резинки_4_53;S4;1;0
резинки_4_53;S5;0;1
резинки_4_53;S6;0;1
резинки_4_53;S7;1;0
резинки_4_53;S8;1;0
резинки_5_54;S1;1;0
резинки_5_54;S2;1;0
резинки_5_54;S3;1;0
резинки_5_54;S4;1;0
резинки_5_54;S5;1;0
резинки_5_54;S6;1;0
резинки_5_54;S7;0;1
резинки_5_54;S8;1;0
резинки_яблоко_55;S1;1;0
резинки_яблоко_55;S2;1;0
резинки_яблоко_55;S3;1;0
резинки_яблоко_55;S4;1;0
резинки_яблоко_55;S5;1;0
резинки_яблоко_55;S6;1;0
резинки_яблоко_55;S7;0;1
резинки_яблоко_55;S8;1;0
резинки_6_56;S1;1;0
резинки_6_56;S2;1;0
резинки_6_56;S3;1;0
резинки_6_56;S4;1;0
резинки_6_56;S5;1;0
резинки_6_56;S6;1;0
резинки_6_56;S7;0;1
резинки_6_56;S8;1;0
резинки_7_57;S1;1;0
резинки_7_57;S2;1;0
резинки_7_57;S3;1;0
резинки_7_57;S4;1;0
резинки_7_57;S5;1;0
резинки_7_57;S6;1;0
резинки_7_57;S7;0;1
резинки_7_57;S8;1;0
резинки_0_58;S1;1;0
резинки_0_58;S2;0;1
резинки_0_58;S3;1;0
резинки_0_58;S4;1;0
резинки_0_58;S5;0;1
резинки_0_58;S6;0;1
резинки_0_58;S7;1;0
резинки_0_58;S8;1;0
солнце_59;S1;1;0
солнце_59;S2;0;1
солнце_59;S3;1;0
солнце_59;S4;0;1
солнце_59;S5;0;1
солнце_59;S6;0;1
солнце_59;S7;1;0
солнце_59;S8;0;1
солнце_новое_60;S1;1;0
солнце_новое_60;S2;1;0
солнце_новое_60;S3;1;0
солнце_новое_60;S4;1;0
солнце_новое_60;S5;0;1
солнце_новое_60;S6;0;1
солнце_новое_60;S7;1;0
солнце_новое_60;S8;0;1
еж_61;S1;1;0
еж_61;S2;1;0
еж_61;S3;1;0
еж_61;S4;0;1
еж_61;S5;0;1
еж_61;S6;1;0
еж_61;S7;1;0
еж_61;S8;0;1
солнце_старое__62;S1;1;0
солнце_старое__62;S2;1;0
солнце_старое__62;S3;1;0
солнце_старое__62;S4;0;1
солнце_старое__62;S5;0;1
солнце_старое__62;S6;0;1
солнце_старое__62;S7;1;0
солнце_старое__62;S8;1;0
яйцо_63;S1;1;0
яйцо_63;S2;1;0
яйцо_63;S3;1;0
яйцо_63;S4;1;0
яйцо_63;S5;0;1
яйцо_63;S6;0;1
яйцо_63;S7;1;0
яйцо_63;S8;1;0
колбаса_пластизоль_64;S1;1;0
колбаса_пластизоль_64;S2;1;0
колбаса_пластизоль_64;S3;1;0
колбаса_пластизоль_64;S4;1;0
колбаса_пластизоль_64;S5;1;0
колбаса_пластизоль_64;S6;1;0
колбаса_пластизоль_64;S7;1;0
колбаса_пластизоль_64;S8;1;0
колбаса_краска_65;S1;1;0
колбаса_краска_65;S2;1;0
колбаса_краска_65;S3;1;0
колбаса_краска_65;S4;1;0
колбаса_краска_65;S5;1;0
колбаса_краска_65;S6;1;0
колбаса_краска_65;S7;1;0
колбаса_краска_65;S8;1;0
резини_большая_коробка_66;S1;1;0
резини_большая_коробка_66;S2;1;0
резини_большая_коробка_66;S3;1;0
резини_большая_коробка_66;S4;1;0
резини_большая_коробка_66;S5;1;0
резини_большая_коробка_66;S6;0;1
резини_большая_коробка_66;S7;1;0
резини_большая_коробка_66;S8;1;0
собака_краска_67;S1;1;0
собака_краска_67;S2;1;0
собака_краска_67;S3;1;0
собака_краска_67;S4;1;0
собака_краска_67;S5;0;1
собака_краска_67;S6;1;0
собака_краска_67;S7;1;0
собака_краска_67;S8;1;0
собака_пластизоль_68;S1;1;0
собака_пластизоль_68;S2;1;0
собака_пластизоль_68;S3;1;0
собака_пластизоль_68;S4;1;0
собака_пластизоль_68;S5;1;0
собака_пластизоль_68;S6;0;1
собака_пластизоль_68;S7;1;0
собака_пластизоль_68;S8;1;0
сыр_пластизоль_69;S1;1;0
сыр_пластизоль_69;S2;1;0
сыр_пластизоль_69;S3;1;0
сыр_пластизоль_69;S4;1;0
сыр_пластизоль_69;S5;1;0
сыр_пластизоль_69;S6;1;0
сыр_пластизоль_69;S7;1;0
сыр_пластизоль_69;S8;1;0
сыр_краска_70;S1;1;0
сыр_краска_70;S2;1;0
сыр_краска_70;S3;1;0
сыр_краска_70;S4;1;0
сыр_краска_70;S5;1;0
сыр_краска_70;S6;1;0
сыр_краска_70;S7;1;0
сыр_краска_70;S8;1;0
петя_пластизоль_71;S1;1;0
петя_пластизоль_71;S2;1;0
петя_пластизоль_71;S3;1;0
