Chemical;Sensor;p;d;q;AIC
dioktilftalat_22;S5;0;1;1;208.33249511909497
dioktilftalat_22;S6;0;1;1;212.1449701594819
dioktilftalat_22;S7;0;0;2;77.84145240287143
dioktilftalat_22;S8;0;1;1;154.7378910066657
dioktilftalat_23;S1;1;1;1;175.5159663037721
dioktilftalat_23;S2;0;1;1;144.32856144171055
dioktilftalat_23;S3;0;1;1;149.65640504254927
dioktilftalat_23;S4;0;1;2;135.83223546239444
dioktilftalat_23;S5;0;1;1;177.12816722891523
dioktilftalat_23;S6;0;1;1;167.22900876587497
dioktilftalat_23;S7;1;1;1;180.6103780466676
dioktilftalat_23;S8;0;1;1;161.5192949165422
izobutanol_24;S1;1;1;1;147.8251625682524
izobutanol_24;S2;0;1;1;154.88979200956874
izobutanol_24;S3;0;1;1;192.76195924450624
izobutanol_24;S4;0;1;2;223.74985914879568
izobutanol_24;S5;0;1;1;177.69855739192047
izobutanol_24;S6;2;1;0;167.83800076392006
izobutanol_24;S7;2;1;1;140.25809095324936
izobutanol_24;S8;2;1;0;283.86190864811266
izopropanol_25;S1;2;1;2;159.60859777862046
izopropanol_25;S2;0;1;2;149.22756281421493
izopropanol_25;S3;0;1;1;161.59127676316848
izopropanol_25;S4;0;1;1;185.35663165416764
izopropanol_25;S5;0;1;1;176.75417276912628
izopropanol_25;S6;2;1;1;161.2089535590763
izopropanol_25;S7;0;1;2;147.11585050632922
izopropanol_25;S8;0;1;2;208.52096720346708
plastizol__26;S1;2;1;1;147.10252662373415
plastizol__26;S2;2;1;2;159.05909739670034
plastizol__26;S3;0;1;1;123.6329480243185
plastizol__26;S4;2;1;2;107.51846343854174
plastizol__26;S5;0;1;1;197.54153878906322
plastizol__26;S6;1;1;1;189.01483192085828
plastizol__26;S7;0;1;1;138.17954878643812
plastizol__26;S8;0;1;1;179.281166852788
plastizol__27;S1;1;1;1;132.0713303459957
plastizol__27;S2;1;1;1;133.53801233583948
plastizol__27;S3;0;1;2;152.8436636045993
plastizol__27;S4;2;1;0;146.91380221573397
plastizol__27;S5;0;1;2;171.91953939419835
plastizol__27;S6;2;1;2;175.36188389376326
plastizol__27;S7;1;1;1;134.16950353372667
plastizol__27;S8;2;1;0;199.93233696320416
propanol_28;S1;0;1;1;152.96129549989757
propanol_28;S2;2;1;1;170.00099245237627
propanol_28;S3;0;1;1;175.3812958910819
propanol_28;S4;1;1;0;212.74798575193373
propanol_28;S5;0;1;1;151.98298191279622
propanol_28;S6;1;1;1;160.49357303033915
propanol_28;S7;2;1;2;156.12663689149082
propanol_28;S8;1;1;2;194.19137194576285
stirol_29;S1;0;1;1;151.13186648180564
stirol_29;S2;0;1;1;147.87325066866163
stirol_29;S3;1;1;2;140.02434491609932
stirol_29;S4;0;1;1;169.13904502031684
stirol_29;S5;0;1;1;161.86328816808188
stirol_29;S6;0;1;1;185.50001420582115
stirol_29;S7;0;1;1;171.99212591267872
stirol_29;S8;0;1;1;168.73802591941197
toluol_30;S1;2;1;0;160.25037167016842
toluol_30;S2;0;1;1;159.3458631322727
toluol_30;S3;2;1;1;167.00969947681517
toluol_30;S4;2;1;2;182.4282490954969
toluol_30;S5;0;1;1;155.7229894671839
toluol_30;S6;0;1;1;179.4999768343819
toluol_30;S7;1;1;2;168.71133541051273
toluol_30;S8;0;1;1;172.72403990314842
fenol_31;S1;0;1;1;173.6736068574397
fenol_31;S2;1;1;2;95.49309354051803
fenol_31;S3;0;1;1;163.22488798422702
fenol_31;S4;1;1;2;178.30949182122507
fenol_31;S5;0;1;1;144.72955683120873
fenol_31;S6;1;1;1;148.3952998774206
fenol_31;S7;0;1;1;170.1484899952029
fenol_31;S8;0;1;2;217.75942520020837
etilazetat_32;S1;2;1;0;150.79609406036062
etilazetat_32;S2;0;1;2;160.17595547821745
etilazetat_32;S3;1;1;2;122.55329561536172
etilazetat_32;S4;1;1;2;177.32871707184358
etilazetat_32;S5;2;1;0;206.0754946754858
etilazetat_32;S6;0;1;1;160.90026950934092
etilazetat_32;S7;1;1;1;132.19030290589816
etilazetat_32;S8;2;1;1;150.24233276735117
etilazetat_33;S1;2;1;0;135.13254664877266
etilazetat_33;S2;1;1;2;134.91594908563087
etilazetat_33;S3;1;1;2;168.76644893036607
etilazetat_33;S4;1;1;2;154.23298617105644
etilazetat_33;S5;0;1;1;179.82304812343347
etilazetat_33;S6;0;1;1;170.05666652578094
etilazetat_33;S7;0;1;1;160.26010462136048
etilazetat_33;S8;1;1;1;126.74826859996799
etilazetat_34;S1;2;1;2;143.0406489596628
etilazetat_34;S2;2;1;1;147.93660550312387
etilazetat_34;S3;0;1;1;157.1707759648489
etilazetat_34;S4;0;1;1;171.57312398464708
etilazetat_34;S5;0;1;1;195.99540285764584
etilazetat_34;S6;0;1;1;167.90518280526047
etilazetat_34;S7;0;1;1;147.8764041445015
etilazetat_34;S8;0;1;1;164.443613650463
etilazetat_35;S1;0;1;1;148.04295027888483
etilazetat_35;S2;0;1;1;138.15742343862746
etilazetat_35;S3;0;1;1;175.334622852906
etilazetat_35;S4;1;1;1;178.73654282465247
etilazetat_35;S5;1;1;1;191.36957848432286
etilazetat_35;S6;1;1;2;178.4329471603492
etilazetat_35;S7;2;1;1;121.10140630030901
etilazetat_35;S8;0;1;1;190.27498946644357
