Chemical;Sensor;p;d;q;AIC
etilazetat_35;S6;0;1;1;167.90518280526044
etilazetat_35;S7;0;1;1;147.8764041445015
etilazetat_35;S8;0;1;1;164.443613650463
etilazetat_36;S1;0;1;1;148.04295027888483
etilazetat_36;S2;0;1;1;138.15742343862746
etilazetat_36;S3;0;1;1;175.334622852906
etilazetat_36;S4;1;1;1;178.73654282465245
etilazetat_36;S5;1;1;1;191.36957848432286
etilazetat_36;S6;1;1;2;178.43254551617554
etilazetat_36;S7;2;1;1;121.10140630030901
etilazetat_36;S8;0;1;1;190.27498946644357
