Chemical;Sensor;JB;p-value;skew;kurtosis
etilazetat_33;S8;6.164104672032469;0.0458650295373;0.016245081216976227;1.8947503806886794
azetal_degid_3;S1;8.4448313337979;0.014663180328;0.2328674618674723;1.7924823609262075
azetal_degid_3;S2;8.218880500415084;0.0164169613456;0.34359746147836456;1.9239171446870158
azetal_degid_3;S3;10.203120131197812;0.00608724265622;0.43487381950667253;1.8742565082149514
azetal_degid_3;S4;10.319403893292085;0.00574341127356;0.3752564302509313;1.7819875374445453
azetal_degid_3;S5;7.734254476769265;0.0209183767003;0.24556671060377447;1.8629621966576124
azetal_degid_3;S6;7.028583097832782;0.0297688852844;-0.08461784761010772;1.8314716921245784
azetal_degid_3;S7;11.735454311245666;0.00282929658256;0.5287636237502126;1.9003047977276828
azetal_degid_3;S8;8.44615779905257;0.0146534584527;0.1432263812637107;1.7377734817999069
etilazetat_34;S1;15.336781613729237;0.00046736930638;-0.8698997310309985;2.8771012518349544
etilazetat_34;S2;6.480525663975509;0.0391536029272;-0.3755252823766833;2.1506964209948114
etilazetat_34;S3;8.909464012250078;0.0116234344665;-0.5192284534188288;2.1700761069266217
etilazetat_34;S4;19.12839370463514;7.0197570744e-05;-0.9615723546713837;2.690846335656735
etilazetat_34;S5;18.191870500467065;0.000112120625792;-0.8948233938783169;2.3632353121230842
etilazetat_34;S6;23.460474088588803;8.04679208837e-06;-1.0740797662740351;2.803206206096374
etilazetat_34;S7;1.2255386976884688;0.54184822261;-0.24602868283703994;2.9689902495052536
etilazetat_34;S8;21.84420198161029;1.80547637055e-05;-1.0337654290363774;2.759063435192729
dioktilftalat_16;S1;10.400004383570137;0.00551655232965;-0.12476766736997875;1.5855945052637679
dioktilftalat_16;S2;3.5025348178757256;0.173553840311;-0.4028448795687252;2.7865013774104685
dioktilftalat_16;S3;7.519895268055192;0.0232849596825;-0.5300560341946837;2.3936074892358974
dioktilftalat_16;S4;29.778985968268522;3.41645227724e-07;-1.0794785301917373;4.116010815657129
dioktilftalat_16;S5;19.778423851565577;5.07189005064e-05;-0.9903110299201527;2.988623853242339
dioktilftalat_16;S6;29.34340920032673;4.24775688056e-07;-1.1826554578393857;3.474852197452785
dioktilftalat_16;S7;5.136404594658943;0.0766732573237;0.25992624702618217;2.13481540789871
dioktilftalat_16;S8;8.457077297940089;0.0145736722456;-0.3820558766894303;1.9542610039907584
dioktilftalat_22;S1;11.664453471906704;0.00293154193719;0.6108770267065231;2.0939494280301925
dioktilftalat_22;S2;8.053541053706654;0.0178318244635;0.5581572083452188;2.407346057361365
dioktilftalat_22;S3;12.902771550383008;0.00157833343722;0.7128266115538622;2.2742312335223027
dioktilftalat_22;S4;11.560434112497834;0.00308804505601;0.5837472274961457;2.0356684364265725
dioktilftalat_22;S5;5.567389958458757;0.0618096993619;0.027360970296372886;1.9505805397947313
dioktilftalat_22;S6;6.772730725138002;0.0338314186441;-0.5013233232492044;2.418578250275071
dioktilftalat_22;S7;11.580221493705734;0.00305764353327;0.5572220281434261;1.972908045900959
dioktilftalat_22;S8;10.381864966425908;0.00556681343385;0.49156546331798057;1.9546931230520983
azeton_6;S1;7.669112146822396;0.0216109300075;-0.22904560128731938;1.8548805035876383
azeton_6;S2;5.520000820001223;0.06329174241;0.1839806299777114;2.020469139396446
azeton_6;S3;6.830616075422071;0.0328662810881;0.12471606286271955;1.8630670401313572
azeton_6;S4;4.158468152775701;0.125025935852;-0.13132814896890352;2.13061412558647
azeton_6;S5;4.381008820170888;0.111860310916;-0.27596966275893065;2.248785378145352
azeton_6;S6;5.338688814984484;0.069297641435;-0.3811478045825687;2.308755551044772
azeton_6;S7;10.147859206764354;0.00625778116378;-0.07239706759747828;1.5886767986165964
azeton_6;S8;8.019251541648998;0.0181401825523;-0.2008191542952478;1.8044741674992968
etilazetat_35;S1;6.797246047299887;0.0334192558172;-0.03090511898209324;1.8405201224215944
etilazetat_35;S2;8.102260664111386;0.0174026926966;0.35341936467594426;1.9476507342504943
etilazetat_35;S3;8.265372367478442;0.0160397352268;0.19763546393534034;1.7821438530894913
etilazetat_35;S4;7.368541945439698;0.0251154779194;-0.0037692192757363715;1.791086374939109
etilazetat_35;S5;6.862162886272147;0.0323519350699;-0.5176050200150003;2.462012702490407
etilazetat_35;S6;28.850211200524438;5.43570947752e-07;-1.1391876293734313;3.7289458971213536
etilazetat_35;S7;9.629985720139159;0.00810727996311;-0.04397061780051722;1.620744348809848
etilazetat_35;S8;8.757262329789993;0.0125425155115;-0.1946466037883839;1.7408620207759826
izobutanol_24;S1;8.304968953312233;0.0157252987737;0.2640720058440417;1.830243413282049
izobutanol_24;S2;5.607939925568584;0.0605691275079;0.49450084688010576;2.633674580922744
izobutanol_24;S3;9.584346669081441;0.00829441124842;0.5281469760940276;2.1138450896900527
izobutanol_24;S4;9.702364703963246;0.00781912712123;0.49969166265454373;2.0378830926368834
izobutanol_24;S5;4.489407930738378;0.105958903236;0.16508809981909267;2.1160063606768804
izobutanol_24;S6;4.19710125058331;0.122634042186;-0.10832932819184511;2.1136919726800985
izobutanol_24;S7;10.130877968200595;0.00631113980459;0.42704941227074805;1.8686532190716445
izobutanol_24;S8;8.504405187383043;0.0142328501729;0.2961084945817397;1.8441006933368147
benzol_8;S1;9.970447971399565;0.00683824618655;0.00287277009592366;1.5937366876163457
benzol_8;S2;10.096280204661888;0.00642126524311;0.4738366502646157;1.949056000567859
benzol_8;S3;11.19683838131437;0.00370371395683;0.45466966464489394;1.8193381137719964
benzol_8;S4;11.228656997067661;0.00364525667167;0.3049136916099191;1.6379125584393417
benzol_8;S5;10.532108024100223;0.00516394729621;0.2741425628976834;1.6626905434281258
benzol_8;S6;10.409212391935082;0.00549121247681;0.12205027270968918;1.5840013798120274
benzol_8;S7;10.182763942868386;0.00614951555732;0.1661847901353364;1.6182430619306545
benzol_8;S8;10.734590174867856;0.00466673737001;0.26178906844989447;1.6380011581215874
dioktilftalat_21;S1;8.515076073288832;0.0141571138358;-0.19533165604660538;1.7605150725660814
dioktilftalat_21;S2;6.1972954981433315;0.045110161426;-0.14554809909668417;1.9301969155995395
dioktilftalat_21;S3;9.15490307902787;0.0102810638237;0.2937109255541557;1.787241114878537
dioktilftalat_21;S4;9.503077977511348;0.00863839058194;0.11750296629988236;1.6473432659243488
dioktilftalat_21;S5;8.3973527742071;0.0150154383009;-0.05378818748441011;1.713913705675568
dioktilftalat_21;S6;8.039618370644158;0.0179563909556;-0.207179868427225;1.8071290693470987
dioktilftalat_21;S7;10.31172683992536;0.00576549987772;0.16086870121960536;1.6065200987234072
dioktilftalat_21;S8;8.899161724109577;0.0116834629269;0.023864265066938502;1.6722782768925162
izopropanol_25;S1;0.31276801503631946;0.855230712283;-0.035799058347022045;2.761441116771037
izopropanol_25;S2;7.231714033530733;0.0268938668432;-0.075594008007169;1.8119209857154364
izopropanol_25;S3;8.891623674380428;0.0117275812786;-0.2024648831070843;1.7352234502986368
izopropanol_25;S4;9.983520709089163;0.00679369464849;-0.481960010266721;1.9747875104593293
izopropanol_25;S5;12.878794222074355;0.00159736942677;-0.6140287516230705;1.9770892756653966
izopropanol_25;S6;12.284316175890796;0.00215027811812;-0.6490264840307908;2.1330414817025587
izopropanol_25;S7;20.167576279605463;4.17509588776e-05;-0.11589658124319148;1.0134320175438598
izopropanol_25;S8;9.936384517851298;0.00695571080033;-0.4554376524046314;1.931749417694365
dioktilftalat_19;S1;8.487207349526138;0.0143557650076;-0.4824233386312076;2.1325416912722197
dioktilftalat_19;S2;9.686104408163953;0.00788295690236;-0.42874033800021244;1.9109923407120613
dioktilftalat_19;S3;12.690598651274424;0.00175497735438;-0.6841085655888701;2.196803002938364
