Chemical;Sensor;JB;p-value;skew;kurtosis
е-ежик_50;S7;8.642759480243903;0.0132815458131;-0.37468843453730555;1.926361023767856
е-ежик_50;S8;9.028724994612263;0.0109505839288;0.08543699409293731;1.6727383201884727
е-ежик_рожа_15;S1;73.32231967673106;1.19745880579e-16;-1.572498159475184;5.156911721029353
е-ежик_рожа_15;S2;38.37118620418325;4.65374715493e-09;-1.3364724604563532;3.682773199775913
е-ежик_рожа_15;S3;26.032224465556812;2.22420227932e-06;-1.1166534715662013;3.41923325330532
е-ежик_рожа_15;S4;152.1416873208919;9.18020468616e-34;-2.0532128205432176;6.6488535261182955
е-ежик_рожа_15;S5;93.0070112169772;6.36479067372e-21;-1.8245935748695958;5.265194206358681
е-ежик_рожа_15;S6;110.4025816764187;1.06263470361e-24;-1.9133172676022174;5.693492317269116
е-ежик_рожа_15;S7;64.00825137933775;1.26120247644e-14;-1.4857281071478732;4.966290792273682
е-ежик_рожа_15;S8;32.26499513815014;9.8570129343e-08;-1.2237579854442704;3.6397921767255914
еж_64;S1;10.197765158396086;0.00610356300466;-0.7076283973807039;3.140518420079774
еж_64;S2;9.001059232994665;0.0111031145881;-0.38643889942053955;1.9100486383322823
еж_64;S3;12.279393111648163;0.00215557761654;-0.7428128216025065;2.5219847773957302
еж_64;S4;21.89743837236574;1.75805182577e-05;-1.0418044860580418;2.956788742458353
еж_64;S5;20.39483562943985;3.72664233605e-05;-0.991540770049401;2.664374823512066
еж_64;S6;21.176081960128446;2.52157696333e-05;-1.0160982551535553;2.7346851923517237
еж_64;S7;165.75089103806837;1.01777393812e-36;1.533461378580523;7.8446046891652985
еж_64;S8;15.855732148536475;0.000360554990167;-0.858154411575588;2.55365637503421
еж_зеленый_7;S1;0.27176448637020895;0.872945421709;-0.009385619282161722;3.2314116254181506
еж_зеленый_7;S2;5.675763061842492;0.0585495701285;-0.3283964262075824;2.166696732973913
еж_зеленый_7;S3;3.589077239089246;0.166204117991;-0.15349855885835906;2.2141018778120145
еж_зеленый_7;S4;6.616519985136971;0.0365797674782;-0.11223607706932523;4.1233787662111565
еж_зеленый_7;S5;53.65363811636835;2.23491245605e-12;-1.403623791227266;4.661747554447111
еж_зеленый_7;S6;24.92380785007512;3.87136296713e-06;-1.0859291488545038;3.476021772690978
еж_зеленый_7;S7;3.194149187727292;0.202488012066;0.08350389446382184;3.7782407407407415
еж_зеленый_7;S8;1.640791810925454;0.44025731972;-0.22262466497662278;2.643349829971673
ежик_карри_47;S1;7.005342704688144;0.0301168232216;-0.5760174521049171;2.7503902214072076
ежик_карри_47;S2;7.756005632608607;0.0206921098859;-0.4303063725263697;2.106844366555487
ежик_карри_47;S3;14.19212725350888;0.000828359245121;-0.8386841212973479;2.9625411177354484
ежик_карри_47;S4;39.77771692017177;2.3034485668e-09;-1.2887438103467295;4.116401655667121
ежик_карри_47;S5;72.88266580727216;1.49186734097e-16;-1.647691290264079;4.8964492065952205
ежик_карри_47;S6;105.02006419116694;1.56741073303e-23;-1.8695628004280336;5.617129285361259
ежик_карри_47;S7;6.670669556644706;0.0356026652155;0.2943571033809913;2.0118079164494773
ежик_карри_47;S8;8.432847432026497;0.0147513051404;-0.6108571911300705;2.5756830621018256
зеленые_резинки_1;S1;0.07132466369160899;0.964966076791;0.010962607872533475;2.8830969391044348
зеленые_резинки_1;S2;10.565404420637545;0.00507868854924;-0.5822068892560905;3.860091831235058
зеленые_резинки_1;S3;7.1801145605123144;0.0275967496291;-0.561603762031876;3.403187068291852
зеленые_резинки_1;S4;6.053586856667017;0.0484708143412;-0.48135283635368487;2.476636617270803
зеленые_резинки_1;S5;15.146378152469378;0.000514050485644;-0.8491513022429751;3.3464225141368673
зеленые_резинки_1;S6;48.429652581882905;3.04533140791e-11;-1.375592983458126;4.42718508935864
зеленые_резинки_1;S7;50.733617789410815;9.62354039328e-12;0.763070144884236;5.780964249022439
зеленые_резинки_1;S8;1.4507545553433459;0.484141878574;-0.2195914900346376;2.6919881825767895
змея_зеленая_51;S1;1.6874421744588515;0.430107076048;-0.12757522089125886;2.4807721826298055
змея_зеленая_51;S2;9.68059370733814;0.00790470716195;-0.6071205666503519;2.332365196882452
змея_зеленая_51;S3;0.34771348050830064;0.840417287002;0.13076489676657316;2.9761226012611
змея_зеленая_51;S4;10.846292693326046;0.00441323920005;-0.7069113166853871;3.390430971512051
змея_зеленая_51;S5;26.557369744694395;1.71056835326e-06;-1.1251761018159354;3.4511013518392635
змея_зеленая_51;S6;26.792254622931715;1.52102316991e-06;-1.1211258731598954;3.535232017285196
змея_зеленая_51;S7;0.6831996120443613;0.710632538673;0.06613000712661019;2.656462585034014
змея_зеленая_51;S8;1.5129687896290092;0.469313450972;-0.2682552404058534;2.8893225992078686
змея_черная_52;S1;16.713950673629192;0.000234753310717;-0.6104670067467324;4.350734579653152
змея_черная_52;S2;11.024011634349288;0.00403799976546;-0.5208601812809571;1.9505241754761113
змея_черная_52;S3;7.561214722571689;0.0228088340145;-0.5817053498775244;2.6176119606534396
змея_черная_52;S4;39.685611052104136;2.41200972527e-09;-1.2885114616984432;4.109269584628552
змея_черная_52;S5;51.18142818345409;7.69297076454e-12;-1.4978526154050613;4.085098338783893
змея_черная_52;S6;78.41794026825835;9.37045392671e-18;-1.7226269894882547;4.919426123559521
змея_черная_52;S7;5.445045291436146;0.065708785188;0.26258999009029277;2.103230814622363
змея_черная_52;S8;16.941114738307512;0.000209548075175;-0.9154431835955781;2.9101322329618897
зубастик_36;S1;48.24754454628601;3.33563728074e-11;-1.4875912715821886;3.8473781544225862
зубастик_36;S2;35.1825307556873;2.29197838025e-08;-1.2461179296297684;3.8758502323802326
зубастик_36;S3;27.031043527490205;1.34984368144e-06;-1.0502539457095899;3.9743694847410564
зубастик_36;S4;68.46229912709985;1.36019331273e-15;-1.5212776585113301;5.0789795918367355
зубастик_36;S5;42.39169165781975;6.23391845785e-10;-1.3565066245083337;4.0236349595402015
зубастик_36;S6;75.05584715308096;5.03303410656e-17;-1.6258082768151225;5.077041156857818
зубастик_36;S7;21.02494522195107;2.71951309201e-05;0.6423378788244037;1.4125979505726336
зубастик_36;S8;30.121686414998635;2.87845140651e-07;-1.0769676730690105;4.155470422047774
колбаса_краска_68;S1;6.770567706978827;0.0338680274234;0.014539264090059286;1.841519547169063
колбаса_краска_68;S2;8.579714264189782;0.0137068834312;0.063824469321622;1.7017445338416683
колбаса_краска_68;S3;9.354603547273813;0.00930408457494;0.01187851110799058;1.6380550089204782
колбаса_краска_68;S4;9.218130196993593;0.00996112662825;-0.13527395577856371;1.675162920162336
колбаса_краска_68;S5;9.198806093530552;0.0100578380119;-0.15621984195339697;1.685869860152653
колбаса_краска_68;S6;8.80214810039273;0.0122641605027;-0.19957469019460278;1.7404126123651273
колбаса_краска_68;S7;8.897893559878257;0.011690873551;0.12275883887564834;1.6943995558346272
колбаса_краска_68;S8;8.572459695608323;0.0137566924753;0.08613747678665114;1.7074660837625162
колбаса_пластизоль_67;S1;9.405440846316866;0.00907056772446;-0.34030369755396445;1.8158059450534638
колбаса_пластизоль_67;S2;9.113599025274132;0.0104955962701;0.079020713226156;1.6648300061273211
колбаса_пластизоль_67;S3;9.29999819908973;0.00956161054034;0.03867030504972735;1.644033122824287
колбаса_пластизоль_67;S4;8.842432754036995;0.0120196030203;-0.14566361898369226;1.7081024034790113
колбаса_пластизоль_67;S5;9.556982432891443;0.00840867627391;-0.1885685108284448;1.6758521652414613
колбаса_пластизоль_67;S6;9.163834105942145;0.0102352559488;-0.2445808510726446;1.743679651876246
колбаса_пластизоль_67;S7;9.725761186652925;0.00772819002416;0.12200260518613742;1.6326894806530887
колбаса_пластизоль_67;S8;8.250725391875298;0.0161576332174;0.06055930857590117;1.7264860439229197
корова_3;S1;7.3175820717424385;0.025763641224;-0.2980016103010497;1.9530036301866533
корова_3;S2;6.561757661214911;0.0375952024701;-0.4442829443765244;2.2844887749617575
корова_3;S3;8.892570725620631;0.011722029283;-0.590527784282785;2.3926093307638863
корова_3;S4;8.39134312857087;0.0150606248874;-0.6070158623209736;2.5635076075865615
корова_3;S5;66.25413381477932;4.10296337704e-15;-1.6068483475220259;4.677339962630026
корова_3;S6;33.358376526537505;5.70585294625e-08;-1.2446754547586785;3.647819065906562
корова_3;S7;9.168535369480605;0.0102112248862;-0.45307600498570105;2.0012803172038653
корова_3;S8;7.855084971895756;0.0196920065208;-0.26572016592799286;1.870573350530387
кукла_голова_30;S1;8.638873968842844;0.0133073736924;0.2038107836032519;1.7560786515258815
кукла_голова_30;S2;8.552222589717765;0.0138965969181;-0.11717639319398923;1.7188335844439366
кукла_голова_30;S3;7.487111654159498;0.0236697876426;0.11082023407301964;1.801700186702842
кукла_голова_30;S4;12.104141665630987;0.00235298432065;-0.06237425267854219;1.4555715303682546
кукла_голова_30;S5;11.87252905869995;0.00264187990674;-0.07993245766526216;1.473787365530839
кукла_голова_30;S6;13.600191882118347;0.0011136682962;-0.08509023308110325;1.3664158027952824
кукла_голова_30;S7;3.5617041498518676;0.168494516133;0.19197729678048492;2.2523151828768166
кукла_голова_30;S8;10.564405239910363;0.005081226447;-0.042333477703969356;1.5549218956052253
лягушка_4;S1;8.199914837249565;0.0165733811041;-0.14893579271035953;1.7599589088237952
лягушка_4;S2;15.011008672232455;0.000550048371119;-0.8360149232178907;3.4262702693036724
лягушка_4;S3;5.379290333409887;0.067905030063;-0.3813970907863129;2.3035003845944475
лягушка_4;S4;5.833931964965523;0.0540975715405;-0.33020776650564104;2.150885841598128
лягушка_4;S5;26.982208443726538;1.38320924079e-06;-1.110387076826233;3.6480780474387
лягушка_4;S6;17.563520329944893;0.000153507648476;-0.932879743813403;3.0511369553642527
лягушка_4;S7;8.384834622116765;0.0151097158083;-0.4784987114030031;2.1355558859095303
лягушка_4;S8;8.069551751538448;0.0176896443469;-0.1232875918229127;1.7591241290729123
медуза_49;S1;34.07561699336271;3.98633493964e-08;-1.2708644534063693;3.546273035277905
медуза_49;S2;35.02070044965836;2.4851437852e-08;-1.2401463909324026;3.8912925170068045
