;Chemical;Sensor;Normality;Stationarity;Radius;p;d;q;AIC
150;dioktilftalat_19;S7;0;1;2;0;0;1;175.54806439597732
151;dioktilftalat_19;S8;0;0;41;0;1;1;153.76271465885068
152;dioktilftalat_20;S1;0;0;42;1;1;2;198.81713848594853
153;dioktilftalat_20;S2;0;0;42;1;1;1;146.4610229055909
154;dioktilftalat_20;S3;0;0;44;0;1;1;152.43668457267694
155;dioktilftalat_20;S4;0;1;44;2;1;0;169.43580674424598
156;dioktilftalat_20;S5;0;0;44;0;1;1;196.82014069218567
157;dioktilftalat_20;S6;0;1;44;2;1;0;178.32977034415558
158;dioktilftalat_20;S7;1;0;40;1;1;1;137.53653159428887
159;dioktilftalat_20;S8;0;0;44;0;1;2;193.97973396925468
160;dioktilftalat_21;S1;0;0;43;0;1;1;192.80193570005176
161;dioktilftalat_21;S2;1;0;43;1;1;1;152.7970403695686
162;dioktilftalat_21;S3;0;0;44;1;1;1;165.1983520282837
163;dioktilftalat_21;S4;0;0;44;2;1;0;157.74780444381634
164;dioktilftalat_21;S5;0;0;44;0;1;1;183.38927510000462
165;dioktilftalat_21;S6;0;0;44;1;1;2;197.4292874337321
166;dioktilftalat_21;S7;1;0;38;0;1;1;179.6722061468468
167;dioktilftalat_21;S8;0;0;44;1;1;1;181.79382114281617
168;dioktilftalat_22;S1;1;0;43;1;1;2;161.8588145618323
169;dioktilftalat_22;S2;0;0;42;0;1;2;117.0456393618442
170;dioktilftalat_22;S3;0;0;41;1;1;2;101.81872142092807
171;dioktilftalat_22;S4;0;0;42;0;1;1;136.32312934213323
172;dioktilftalat_22;S5;0;0;45;2;1;0;193.52105361407183
173;dioktilftalat_22;S6;0;1;45;1;1;1;163.57488981059018
174;dioktilftalat_22;S7;0;0;46;1;1;1;162.6484796828949
175;dioktilftalat_22;S8;0;0;40;0;1;2;168.3439771458985
176;dioktilftalat_23;S1;0;1;1;2;1;1;134.6770872732364
177;dioktilftalat_23;S2;1;1;36;1;1;1;148.447991861609
178;dioktilftalat_23;S3;0;1;40;0;1;1;166.20993850203297
179;dioktilftalat_23;S4;0;1;4;0;1;1;187.51546953380486
180;dioktilftalat_23;S5;0;1;42;0;1;1;208.33249511909497
181;dioktilftalat_23;S6;0;1;38;0;1;1;212.1449701594819
182;dioktilftalat_23;S7;1;1;1;0;0;2;77.84145240287144
183;dioktilftalat_23;S8;1;1;28;0;1;1;154.73789100666568
184;etilazetat_32;S1;1;0;45;1;1;1;175.51596630377207
185;etilazetat_32;S2;0;0;44;0;1;1;144.32856144171058
186;etilazetat_32;S3;1;0;46;0;1;1;149.6564050425493
187;etilazetat_32;S4;0;0;46;0;1;2;135.83223546239444
188;etilazetat_32;S5;0;0;47;0;1;1;177.12816722891526
189;etilazetat_32;S6;0;0;47;0;1;1;167.22900876587497
190;etilazetat_32;S7;0;0;44;1;1;1;180.6103780466676
191;etilazetat_32;S8;0;0;46;0;1;1;161.51929491654218
192;etilazetat_33;S1;1;0;44;1;1;1;147.8251625682524
193;etilazetat_33;S2;1;0;46;0;1;1;154.88979200956874
194;etilazetat_33;S3;0;0;44;0;1;1;192.76195924450627
195;etilazetat_33;S4;0;0;44;0;1;2;223.7498591487957
196;etilazetat_33;S5;0;0;45;0;1;1;177.69855739192047
197;etilazetat_33;S6;0;0;45;2;1;0;167.83800076392006
198;etilazetat_33;S7;0;0;44;2;1;1;140.25809095324936
199;etilazetat_33;S8;0;0;44;2;1;0;283.86190864811266
200;etilazetat_34;S1;0;0;44;2;1;2;159.60859777862046
201;etilazetat_34;S2;1;0;44;0;1;2;149.2275628142149
202;etilazetat_34;S3;0;0;44;0;1;1;161.59127676316848
203;etilazetat_34;S4;0;0;44;0;1;1;185.35663165416764
204;etilazetat_34;S5;0;0;45;0;1;1;176.75417276912628
205;etilazetat_34;S6;0;0;45;2;1;1;161.20895355907632
206;etilazetat_34;S7;0;0;42;0;1;2;147.11585050632922
207;etilazetat_34;S8;0;0;44;0;1;2;208.5209672034671
208;etilazetat_35;S1;0;0;43;2;1;1;147.10252662373415
209;etilazetat_35;S2;1;0;1;2;1;2;159.05909739670034
210;etilazetat_35;S3;0;0;39;0;1;1;123.63294802431851
211;etilazetat_35;S4;0;1;31;2;1;2;107.51846343854173
212;etilazetat_35;S5;0;1;34;0;1;1;197.5415387890632
213;etilazetat_35;S6;0;1;38;1;1;1;189.01483192085826
214;etilazetat_35;S7;0;0;44;0;1;1;138.17954878643812
215;etilazetat_35;S8;0;0;33;0;1;1;179.281166852788
216;fenol_31;S1;1;0;45;1;1;1;132.0713303459957
217;fenol_31;S2;1;0;25;1;1;1;133.53801233583948
218;fenol_31;S3;1;1;21;0;1;2;152.8436636045993
219;fenol_31;S4;0;0;23;2;1;0;146.91380221573397
220;fenol_31;S5;1;0;30;0;1;2;171.91953939419838
221;fenol_31;S6;1;1;31;2;1;2;175.36188389376323
222;fenol_31;S7;0;0;45;1;1;1;134.1695035337267
223;fenol_31;S8;0;1;31;2;1;0;199.93233696320416
224;geksan_14;S1;0;0;44;0;1;1;152.96129549989755
225;geksan_14;S2;0;0;44;2;1;1;170.0009924523763
226;geksan_14;S3;1;0;43;0;1;1;175.38129589108192
227;geksan_14;S4;0;0;43;1;1;0;212.7479857519337
228;geksan_14;S5;0;0;45;0;1;1;151.98298191279622
229;geksan_14;S6;0;0;45;1;1;1;160.49357303033918
230;geksan_14;S7;0;0;44;2;1;2;156.12663689149082
231;geksan_14;S8;1;0;43;1;1;2;194.19137194576282
232;izobutanol_24;S1;0;0;44;0;1;1;151.13186648180562
233;izobutanol_24;S2;0;0;46;0;1;1;147.87325066866163
234;izobutanol_24;S3;0;0;44;1;1;2;140.02434491609932
235;izobutanol_24;S4;0;0;44;0;1;1;169.13904502031684
236;izobutanol_24;S5;0;0;44;0;1;1;161.86328816808188
237;izobutanol_24;S6;1;1;41;0;1;1;185.50001420582115
238;izobutanol_24;S7;0;0;44;0;1;1;171.99212591267872
239;izobutanol_24;S8;0;0;44;0;1;1;168.73802591941197
240;izopropanol_25;S1;0;0;44;2;1;0;160.2503716701684
241;izopropanol_25;S2;0;0;44;0;1;1;159.34586313227268
242;izopropanol_25;S3;0;0;44;2;1;1;167.00969947681514
243;izopropanol_25;S4;0;0;44;2;1;2;182.4282490954969
244;izopropanol_25;S5;0;0;44;0;1;1;155.7229894671839
245;izopropanol_25;S6;1;0;45;0;1;1;179.4999768343819
246;izopropanol_25;S7;0;0;42;1;1;2;168.7113354105127
247;izopropanol_25;S8;0;0;44;0;1;1;172.72403990314842
248;plastizol__26;S1;0;0;44;0;1;1;173.6736068574397
249;plastizol__26;S2;1;0;47;1;1;2;95.49309354051806
250;plastizol__26;S3;0;0;45;0;1;1;163.22488798422702
251;plastizol__26;S4;0;0;44;1;1;2;178.3094918212251
252;plastizol__26;S5;0;0;45;0;1;1;144.72955683120873
253;plastizol__26;S6;0;0;46;1;1;1;148.3952998774206
254;plastizol__26;S7;1;0;44;0;1;1;170.1484899952029
255;plastizol__26;S8;0;0;43;0;1;2;217.7594252002084
256;plastizol__27;S1;1;0;31;2;1;0;150.79609406036062
257;plastizol__27;S2;0;0;44;0;1;2;160.17595547821742
258;plastizol__27;S3;1;0;46;1;1;2;122.5532956153617
259;plastizol__27;S4;0;1;44;1;1;2;177.3287170718436
260;plastizol__27;S5;0;1;44;2;1;0;206.0754946754858
261;plastizol__27;S6;0;1;43;0;1;1;160.90026950934092
262;plastizol__27;S7;1;0;45;1;1;1;132.19030290589816
263;plastizol__27;S8;0;1;44;2;1;1;150.24233276735114
264;propanol_28;S1;0;0;45;2;1;0;135.13254664877266
265;propanol_28;S2;0;0;49;1;1;2;134.91594908563087
266;propanol_28;S3;0;0;45;1;1;2;168.7664489303661
267;propanol_28;S4;0;0;44;1;1;2;154.23298617105644
268;propanol_28;S5;0;0;45;0;1;1;179.82304812343347
269;propanol_28;S6;0;1;45;0;1;1;170.05666652578094
270;propanol_28;S7;0;0;44;0;1;1;160.26010462136048
271;propanol_28;S8;0;0;44;1;1;1;126.748268599968
272;stirol_29;S1;0;0;46;2;1;2;143.04064895966283
273;stirol_29;S2;1;0;45;2;1;1;147.93660550312387
274;stirol_29;S3;0;0;44;0;1;1;157.1707759648489
275;stirol_29;S4;0;0;45;0;1;1;171.5731239846471
276;stirol_29;S5;0;0;45;0;1;1;195.99540285764584
277;stirol_29;S6;0;1;45;0;1;1;167.90518280526047
278;stirol_29;S7;0;0;44;0;1;1;147.8764041445015
279;stirol_29;S8;0;0;46;0;1;1;164.44361365046302
280;toluol_30;S1;0;0;42;0;1;1;148.04295027888486
281;toluol_30;S2;0;0;42;0;1;1;138.15742343862746
282;toluol_30;S3;0;0;43;0;1;1;175.334622852906
283;toluol_30;S4;0;1;42;1;1;1;178.73654282465247
284;toluol_30;S5;0;1;42;1;1;1;191.3695784843229
285;toluol_30;S6;0;1;38;1;1;2;178.4329471603492
286;toluol_30;S7;0;0;43;2;1;1;121.101406300309
287;toluol_30;S8;0;1;44;0;1;1;190.2749894664436
